sample,depth_m,facies_num,bioturb,amb1,amb2,drx_qz,drx_pl,drx_fk,drx_ca,drx_py,drx_arc,drx_arc_i,drx_arc_is,drx_arc_cl,drx_arc_k,toc,if,imp_toc
PEVP1-15,207.0,12,0,0,1,6,3,1,1,1,3,32.0,19.0,49.0,0.0,,,0.09
PEVP1-14,205.0,12,0,0,1,6,3,1,3,1,3,35.0,16.0,49.0,0.0,0.09,0.84,0.09
PEVP1-13,202.0,12,0,0,1,6,3,1,2,1,3,39.0,11.0,49.0,0.0,,,0.09
PEVP1-9,191.0,12,0,0,1,6,4,1,3,0,3,38.0,14.0,48.0,0.0,0.09,0.8,0.09
PEVP1-8,188.0,12,0,0,1,6,3,1,2,1,3,28.0,20.0,51.0,0.0,,,0.09
PEVP1-6,173.0,12,0,0,1,6,3,1,2,1,3,29.0,30.0,41.0,0.0,0.09,0.87,0.09
PEVP1-2,157.0,12,0,0,1,6,3,1,1,1,3,32.0,9.0,58.0,0.0,0.09,0.87,0.09
PEVP1-1,155.0,12,0,0,1,6,3,1,1,1,3,30.0,24.0,46.0,0.0,,,0.09
PG 60,136.0,10,0,1,0,6,3,1,4,0,3,34.0,21.0,45.0,0.0,1.48,0.71,1.48
PG 59,135.0,10,0,1,0,6,2,1,1,0,2,41.0,31.0,27.0,0.0,,,1.48
PG 55,131.5,12,0,1,0,6,3,1,2,0,3,39.0,23.0,38.0,0.0,0.6,0.83,0.6
PG 54,131.0,12,0,1,0,6,3,1,2,0,3,45.0,14.0,41.0,0.0,,,0.6
PG 52,129.0,12,0,1,0,6,2,2,2,0,3,26.0,34.0,40.0,0.0,,,0.6
PG 51,128.0,12,0,1,0,6,2,1,3,0,3,22.0,34.0,44.0,0.0,,,0.6
PG 50,127.0,12,0,1,0,6,1,1,4,0,3,24.0,40.0,36.0,0.0,1.81,0.68,1.81
PG 48,125.0,12,0,1,0,6,1,1,3,0,3,25.0,24.0,51.0,0.0,,,1.81
PG 45,118.1,12,0,1,0,6,3,1,1,0,2,34.0,13.0,52.0,0.0,,,0.62
PG 42,117.0,12,0,1,0,6,1,1,2,0,2,22.0,21.0,57.0,0.0,0.62,0.86,0.62
PG 40,116.2,12,0,1,0,6,3,1,1,1,4,61.0,11.0,28.0,0.0,,,0.62
PG 38,115.0,13,1,1,0,6,3,1,1,1,4,22.0,0.0,78.0,0.0,,,0.58
PG 37,114.0,13,1,1,0,6,4,1,1,0,4,71.0,0.0,29.0,0.0,,,0.58
PG 36,113.0,13,1,1,0,6,3,1,2,1,3,37.0,12.0,51.0,0.0,,,0.58
PG 35,112.0,13,1,1,0,6,3,1,3,0,3,38.0,23.0,39.0,0.0,0.58,0.83,0.58
PG 34,111.0,13,1,1,0,6,2,1,1,0,4,29.0,6.0,65.0,0.0,,,0.58
PG 32,110.0,13,1,1,0,6,4,1,4,1,3,22.0,27.0,51.0,0.0,,,0.58
PG 31,109.0,13,1,1,0,6,1,1,4,1,3,41.0,22.0,37.0,0.0,,,0.09
PG 30,108.0,13,1,1,0,5,2,1,6,1,3,20.0,37.0,43.0,0.0,0.09,0.31,0.09
PG 29,107.0,13,1,1,0,6,3,1,5,1,3,61.0,17.0,23.0,0.0,,,0.09
PG 28,106.0,13,1,1,0,6,1,1,5,0,2,36.0,27.0,35.0,2.0,,,0.09
PG 26,104.0,13,1,1,0,6,1,1,5,0,3,33.0,30.0,36.0,0.0,,,0.17
PG 24,102.0,13,1,1,0,6,3,1,4,0,3,66.0,18.0,16.0,0.0,0.17,0.62,0.17
PG 23,101.0,13,1,1,0,6,1,1,4,1,3,27.0,25.0,48.0,0.0,,,0.17
PG 22,100.0,13,1,1,0,6,2,1,5,0,3,65.0,15.0,20.0,0.0,,,0.17
PG 21,99.0,13,1,1,0,6,2,1,4,1,2,59.0,24.0,17.0,0.0,,,0.09
