sample,depth_m,facies_num,bioturb,amb1,amb2,drx_qz,drx_pl,drx_fk,drx_ca,drx_py,drx_arc,drx_arc_i,drx_arc_is,drx_arc_cl,drx_arc_k,toc,if
PEVP1-15,207,12,0,0,1,6,3,1,1,1,3,32,19,49,0,,
PEVP1-14,205,12,0,0,1,6,3,1,3,1,3,35,16,49,0,0.09,0.84
PEVP1-13,202,12,0,0,1,6,3,1,2,1,3,39,11,49,0,,
PEVP1-11,197,12,0,0,1,6,3,1,3,1,3,30,15,55,0,,
PEVP1-10,195,12,0,0,1,6,3,1,3,0,3,28,21,51,0,,
PEVP1-9,191,12,0,0,1,6,4,1,3,0,3,38,14,48,0,0.09,0.8
PEVP1-8,188,12,0,0,1,6,3,1,2,1,3,28,20,51,0,,
PEVP1-6,173,12,0,0,1,6,3,1,2,1,3,29,30,41,0,0.09,0.87
PEVP1-5,168,12,0,0,1,6,4,1,1,1,3,30,19,51,0,,
PEVP1-3,162,12,0,0,1,6,4,1,1,1,4,36,5,59,0,,
PEVP1-2,157,12,0,0,1,6,3,1,1,1,3,32,9,58,0,0.09,0.87
PEVP1-1,155,12,0,0,1,6,3,1,1,1,3,30,24,46,0,,
PG 64,145,10,0,1,0,6,2,1,2,0,2,41,24,35,0,,
PG 60,136,10,0,1,0,6,3,1,4,0,3,34,21,45,0,1.48,0.71
PG 59,135,10,0,1,0,6,2,1,1,0,2,41,31,27,0,,
PG 55,131.5,12,0,1,0,6,3,1,2,0,3,39,23,38,0,0.6,0.83
PG 54,131,12,0,1,0,6,3,1,2,0,3,45,14,41,0,,
PG 52,129,12,0,1,0,6,2,2,2,0,3,26,34,40,0,,
PG 51,128,12,0,1,0,6,2,1,3,0,3,22,34,44,0,,
PG 50,127,12,0,1,0,6,1,1,4,0,3,24,40,36,0,1.81,0.68
PG 48,125,12,0,1,0,6,1,1,3,0,3,25,24,51,0,,
PG 45,118.1,12,0,1,0,6,3,1,1,0,2,34,13,52,0,,
PG 44,118,40,0,1,0,5,4,1,6,1,4,20,20,60,0,,
PG 43,117.5,30,0,1,0,4,5,1,5,0,3,56,0,44,0,,
PG 42,117,12,0,1,0,6,1,1,2,0,2,22,21,57,0,0.62,0.86
PG 41,116.4,33,0,1,0,5,5,1,2,1,4,66,2,32,0,,
PG 40,116.2,12,0,1,0,6,3,1,1,1,4,61,11,28,0,,
PG 39,116,33,0,1,0,4,5,1,3,1,4,85,0,15,0,,
PG 38,115,13,1,1,0,6,3,1,1,1,4,22,0,78,0,,
PG 37,114,13,1,1,0,6,4,1,1,0,4,71,0,29,0,,
PG 36,113,13,1,1,0,6,3,1,2,1,3,37,12,51,0,,
PG 35,112,13,1,1,0,6,3,1,3,0,3,38,23,39,0,0.58,0.83
PG 34,111,13,1,1,0,6,2,1,1,0,4,29,6,65,0,,
PG 32,110,13,1,1,0,6,4,1,4,1,3,22,27,51,0,,
PG 31,109,13,1,1,0,6,1,1,4,1,3,41,22,37,0,,
PG 30,108,13,1,1,0,5,2,1,6,1,3,20,37,43,0,0.09,0.31
PG 29,107,13,1,1,0,6,3,1,5,1,3,61,17,23,0,,
PG 28,106,13,1,1,0,6,1,1,5,0,2,36,27,35,2,,
PG 27,105,13,1,1,0,6,3,1,4,0,3,,,,,,
PG 26,104,13,1,1,0,6,1,1,5,0,3,33,30,36,0,,
PG 25,103,13,1,1,0,6,1,1,4,1,2,,,,,,
PG 24,102,13,1,1,0,6,3,1,4,0,3,66,18,16,0,0.17,0.62
PG 23,101,13,1,1,0,6,1,1,4,1,3,27,25,48,0,,
PG 22,100,13,1,1,0,6,2,1,5,0,3,65,15,20,0,,
PG 21,99,13,1,1,0,6,2,1,4,1,2,59,24,17,0,,
PG 20,98,13,1,1,0,6,1,1,4,1,2,57,27,16,0,,
PG 19,97,13,1,1,0,5,2,1,5,0,3,68,20,11,0,0.09,0.43
PG 18,96,13,1,1,0,6,1,1,5,1,2,43,47,9,1,,
PG 17,95,13,1,1,0,5,2,1,5,0,2,85,12,3,1,,
PG 16,94,13,1,1,0,6,2,1,4,1,2,64,23,13,0,,
PG 15,93,13,1,1,0,5,2,1,5,0,3,61,20,11,8,0.07,0.41
PG 14,92,13,1,1,0,6,1,1,5,1,2,69,13,14,4,,
PG 13,91,13,1,1,0,6,3,1,4,1,2,61,26,10,4,,
PG 12,90,13,1,1,0,6,1,1,5,0,3,33,40,27,0,,
PG 11,89,13,1,1,0,6,2,1,5,0,2,72,13,13,2,,
PG 10,88,13,1,1,0,6,2,1,4,1,2,52,27,21,0,,
PG 9,87,13,1,1,0,6,2,1,5,1,2,51,29,10,10,0.09,0.54
PG 8,86,13,1,1,0,6,1,1,4,1,3,62,23,15,0,,
PG 7,85,13,1,1,0,6,1,1,5,1,3,37,34,19,10,,
PG 6,84,13,1,1,0,6,2,1,4,1,3,50,26,18,6,,
PG 5,83,13,1,1,0,6,2,1,5,0,2,71,19,11,0,0.13,0.55
PG 4,82,13,1,1,0,6,2,1,4,1,3,59,26,11,3,,
PG 3,81,13,1,1,0,6,1,1,4,1,3,26,40,34,0,,
PG 2,80,13,1,1,0,6,2,1,4,1,3,60,21,17,2,,
PG 1,79,13,1,1,0,6,1,1,5,1,3,39,37,18,5,,
BP 5,78,10,1,1,0,6,1,1,4,0,3,55,27,16,2,0.17,0.73
BP 4,75,10,1,1,0,6,2,1,3,0,3,40,32,28,0,,
BP 3,73,30,1,1,0,6,5,1,5,0,3,6,17,76,0,,
BP 2,72,10,1,1,0,6,3,1,4,0,3,26,29,41,4,,
BP 1,70,10,1,1,0,6,1,1,4,0,2,41,27,23,9,0.31,0.74
IG 44,66,10,0,1,0,6,2,1,1,0,3,37,40,20,3,1.49,0.81
IG 43,63,10,0,1,0,6,2,1,3,0,3,34,40,20,6,,
IG 42,58,10,0,1,0,6,2,1,2,1,2,41,35,20,4,1.59,0.85
IG 41,56,10,0,1,0,5,1,1,5,0,2,48,34,12,6,,
IG 40,53,10,0,1,0,6,1,1,4,0,2,34,44,15,7,2.44,0.71
IG 39,46,10,0,1,0,6,1,1,1,0,3,38,50,9,3,2.09,0.76
IG 37 - 38,40,10,0,1,0,6,2,1,5,0,3,46,37,16,0,1.88,0.64
IG 36,38,10,0,1,0,6,1,1,1,0,3,45,39,13,4,,
IG 34 - 35,35.5,10,0,1,0,6,2,1,4,0,3,36,51,13,0,1.65,0.75
IG 32 - 33,33,10,0,1,0,6,2,1,1,1,3,36,43,21,0,,
IG 30 - 31,31,10,0,1,0,6,2,1,3,0,2,35,44,18,3,,
IG 29,29,10,0,1,0,3,1,1,6,0,2,52,31,12,6,,
IG 27 - 28,28,10,0,1,0,6,2,1,2,0,3,40,39,17,4,1.56,0.78
IG 26,25.5,10,0,1,0,6,1,1,1,1,3,44,37,15,4,,
IG -24-25,24.5,10,0,1,0,6,2,1,3,1,3,29,40,21,10,,
IG 23,24,12,0,1,0,6,2,1,3,1,3,42,30,25,3,1.43,0.79
IG 22 ,24,12,0,1,0,6,2,1,3,0,3,41,37,20,2,,
IG 20 - 21,20,10,0,1,0,6,1,1,3,0,3,31,42,24,4,,
IG 18 - 19,15.5,10,0,1,0,6,1,1,3,0,3,50,32,17,2,,
IG 17,15.2,10,0,1,0,6,1,1,5,0,3,34,42,20,4,2.81,0.52
IG 16,15,12,0,1,0,4,1,1,6,1,2,38,30,21,11,,
IG14 - 15,13,10,0,1,0,6,1,1,1,0,3,46,36,16,2,,
IG 12 - 13,12,10,0,1,0,6,2,1,3,0,3,47,28,25,0,1.52,0.74
IG 10 - 11,5,10,0,1,0,6,2,1,3,0,3,64,23,11,3,,
IG 9,4,10,0,1,0,6,2,1,3,0,3,48,39,13,0,1.59,0.72
IG 8,4,10,0,1,0,6,2,1,3,0,3,59,26,15,0,,
IG 7,3.2,10,0,1,0,6,1,1,3,0,3,46,32,15,7,,
IG 6,3,10,0,1,0,6,1,1,3,0,3,57,28,15,0,,
IG 5,0.5,10,0,1,0,6,1,1,1,0,3,46,33,21,0,,
IG 4,0.5,10,0,1,0,6,1,1,1,1,3,60,19,21,0,0.07,0.9
IG 3,0.2,12,0,1,0,2,1,1,6,1,2,37,29,29,4,,
IG 2,0.1,12,0,1,0,2,2,1,6,1,2,77,18,3,2,,
IG 1,0,12,0,1,0,2,1,1,6,0,2,64,24,6,6,,
