,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score
12,-0.8597597569591272,0.31248204048102546,50,-0.7431683384971141,0.03486129710329325,42
11,-0.8595878707442088,0.31232545916880533,49,-0.742863713851331,0.0348137143243244,41
15,-0.8576418346468613,0.3105675973400626,48,-0.7394148592871839,0.03427792783329119,40
1,-0.8400000000000001,0.24011224227200284,45,-0.8359985754985756,0.029590306780896015,45
6,-0.8400000000000001,0.24011224227200262,45,-0.8359985754985756,0.02959030678089594,45
9,-0.8400000000000001,0.24011224227200262,45,-0.8359985754985756,0.02959030678089594,45
2,-0.8399999999999999,0.24011224227200242,42,-0.8359985754985756,0.029590306780895918,45
5,-0.8399999999999999,0.24011224227200242,42,-0.8359985754985756,0.029590306780895918,45
7,-0.8399999999999999,0.24011224227200242,42,-0.8359985754985756,0.029590306780895918,45
45,-0.8399999999999996,0.24011224227200176,40,-0.835998575498575,0.029590306780895893,43
46,-0.8399999999999996,0.24011224227200176,40,-0.835998575498575,0.029590306780895893,43
8,-0.6859990766487447,0.2742782002394627,39,-0.4004669537165326,0.026242096089841547,36
0,-0.6013108143556242,0.21106319112570665,38,-0.48422726398700566,0.03685390475554364,39
40,-0.5829690978096911,0.30317373742206477,37,-0.292215151113633,0.023089263216468238,4
13,-0.5815182670581999,0.3014024257746268,36,-0.2920808921278787,0.02311671074933854,2
39,-0.5813446362396902,0.3014503180429689,35,-0.292088671726987,0.023121123891810817,3
10,-0.5797095978676667,0.30264781938424434,34,-0.29207690364083383,0.023110952164026505,1
4,-0.5647996452177348,0.28592753677970845,33,-0.2943533957515182,0.023364431400428497,6
3,-0.5643867826861004,0.2935111451665672,32,-0.29289599236929026,0.023259897208971696,5
14,-0.562268667239735,0.28236003390782066,31,-0.299225430004026,0.024464269468881254,7
24,-0.5440101918556367,0.24667987471084793,30,-0.32053107079409027,0.021504047754571265,9
16,-0.5421066050773105,0.25405991517330206,29,-0.3157945092671997,0.022411176231308807,8
33,-0.5417552498816688,0.16087648651637193,28,-0.4456190021345809,0.027692282861455097,38
42,-0.49946785401073035,0.22592772641130074,27,-0.33439381046188976,0.021350465051064086,10
35,-0.4945220542491177,0.18437336796881462,26,-0.4152519663472642,0.02376185710684497,37
49,-0.4943700532935245,0.20468186224308813,25,-0.34588478275647094,0.023204821816865177,11
21,-0.48986539357535275,0.20085872159143656,24,-0.34777300147311596,0.023366308121444163,12
23,-0.48774527374070614,0.19903933309339744,23,-0.34901886224622636,0.02347716079699194,13
18,-0.4749285666408329,0.19230711323634114,22,-0.3541811505483902,0.023820137162489072,15
19,-0.4731453536832266,0.19190239806054124,21,-0.3536610578203623,0.023661140364659727,14
27,-0.46762375587691885,0.1842887611738371,20,-0.3556367694880761,0.02342247964111659,16
17,-0.4629422564826321,0.1766956257611088,19,-0.3590624720681434,0.022868822483229394,17
20,-0.4538000270140786,0.1746498647557457,18,-0.3600807788629914,0.022665989879121825,20
26,-0.45361728249527183,0.17480187022907157,17,-0.35942058609742256,0.022534122431830252,18
25,-0.4531795759823365,0.17513418241120884,16,-0.3596410600621236,0.022419414831014027,19
41,-0.4528491619208543,0.14312557418064925,15,-0.38922882973778655,0.022241905449808978,35
29,-0.44543017819904407,0.14414767031994236,14,-0.3879728750354451,0.021132806711280636,34
22,-0.4423899817660433,0.1527086636327689,13,-0.382178192900661,0.019525028512769396,33
48,-0.4423253896339122,0.16149015465664696,12,-0.3777314475326761,0.019967024591051038,29
30,-0.44178085269791867,0.1606371485201471,11,-0.3785211819657819,0.019703298577261195,30
31,-0.4417722350942427,0.1605136864978135,10,-0.37861071858251316,0.019693730742932753,31
37,-0.44161789362924225,0.16565208251976737,9,-0.3729727340633556,0.02144391227576896,22
36,-0.4415548705805506,0.16502858170119256,8,-0.3733914389969567,0.021242730462357196,23
43,-0.44083345165409327,0.16585421302305184,7,-0.3735128066580794,0.020819814343288466,24
38,-0.4407618804700288,0.1643112613602931,6,-0.373559573534757,0.021242456876946158,25
28,-0.44059899623041066,0.16390440686719995,5,-0.3738197946538461,0.021161166691111268,26
44,-0.4405340726948623,0.16395088037935426,4,-0.37387834093983013,0.021147389603315556,27
47,-0.44051162407645306,0.17544691955487657,3,-0.3678726689238508,0.02259860844321739,21
34,-0.43984695844742844,0.16358873553626113,2,-0.37455285682070766,0.020633561582614604,28
32,-0.43414640264773985,0.14890902493077404,1,-0.3815137619338679,0.0176142486307602,32
